sentence	question	choices	attachment	correct
قابلت زميل المدير الذي يُشرف على المعهد التعليمي.	من يُشرف على المعهد؟	الزميل أم المدير	low	المدير
قابلت زميل المدير الذي يُحبّ أن يلبس بنطلون أحمر.	من يلبس بنطلون أحمر؟	الزميل أم المدير	high	الزميل
التقيت مترجم الرئيس المشهور الذي يُلقي خطاباً في فعاليات المؤتمر اليوم.	من يلقي الخطاب؟	الرئيس أم المترجم	low	الرئيس
التقيت مترجم الرئيس المشهور الذي يقابل صديقه في فعاليات المؤتمر اليوم.	من يقابل الصديق؟	الرئيس أم المترجم	high	المترجم
زرت والدة الطالبة التي تحصلت على أفضل معدل سنوي.	من تحصل على أفضل معدل؟	الوالدة أم الطالبة	low	الطالبة
زرت والدة الطالبة التي سافرت لأداء فريضة العمرة.	من سافر لأداء العمرة؟	الوالدة أم الطالبة	high	الوالدة
التقيت ابن المدير الذي يحضر اجتماعاً مع ممثلي الأقسام.	من يحضر الاجتماع؟	المدير أم الابن	low	المدير
التقيت ابن المدير الذي يدرس في قسم المعلوماتية بالجامعة.	من يدرس بالجامعة؟	المدير أم الابن	high	الابن
رأيت سائق الكاتب الذي يحمل الحقيبة.	من يحمل الحقيبة؟	السائق أم الكاتب	high	السائق
رأيت سائق الكاتب الذي تعاقد مع دار النشر الفرنسية.	من تعاقد مع دار النشر؟	السائق أم الكاتب	low	الكاتب
رأيت خادمة الممثلة التي ظهرت في برنامج وثائقي.	من ظهر في برنامج وثائقي؟	الممثلة أم الخادمة	low	الممثلة
رأيت خادمة الممثلة التي عادة ما تتفقد الشرفة في الصباح كل يوم.	من يتفقد الشرفة؟	الممثلة أم الخادمة	high	الخادمة
التقيت صديقة الكاتبة التي مؤخرا نشرت كتابا عن الطلاب.	من نشر الكتاب؟	الصديقة أم الكاتبة	low	الكاتبة
التقيت صديقة الكاتبة التي تعرضت لحادث خطير.	من تعرض للحادث؟	الصديقة أم الكاتبة	high	الصديقة
اشتغلت مع ضيفة المرأة التونسية التي تسكن في قرطاج لسنوات.	من يسكن في قرطاج؟	الضيفة أم المرأة	low	المرأة
اشتغلت مع ضيفة المرأة التونسية التي عملت في الفندق الكبير لسنوات.	من عمل في الفندق؟	الضيفة أم المرأة	high	الضيفة
قابلت صديقة الطالبة التي تزعمت الاعتصام المفتوح في الجامعة.	من تزعم الاعتصام؟	الطالبة أم الصديقة	low	الطالبة
قابلت صديقة الطالبة التي تعمل في قسم الصيانة في الجامعة.	من يعمل في قسم الصيانة؟	الطالبة أم الصديقة	high	الصديقة
زرت والد الطبيب الذي أُحيل على المعاش.	من أُحيل على المعاش؟	الوالد أم الطبيب	high	الوالد
زرت والد الطبيب الذي بذل جهوداً كبيرة في انقاذ حياة الكثيرين.	من يبذل جهوداً؟	الوالد أم الطبيب	low	الطبيب
قابلت ابن المهندس الذي يعمل على بناء الجسر الجديد.	من يعمل على بناء الجسر الجديد؟	المهندس أم الابن	low	المهندس
قابلت ابن المهندس الذي التحق بفريق الكرة في مدرسته.	من التحق بفريق الكرة؟	المهندس أم الابن	high	الابن
التقيت أحد مرضى الطبيب الذي يعالج في المستشفى المركزي.	من يعالج في المستشفى المركزي؟	المريض أم الطبيب	low	الطبيب
التقيت أحد مرضى الطبيب الذي يُعالَج في المستشفى المركزي.	من يُعالَج في المستشفى المركزي؟	المريض أم الطبيب	high	المريض
أعجبت بصديقة المعلمة التي تُدرّس اللغة الإنجليزية للأطفال.	من يُدرّس اللغة الإنجليزية؟	الصديقة أم المعلمة	low	المعلمة
أعجبت بصديقة المعلمة التي تحتفي بعيد ميلادها الأسبوع القادم.	من يحتفي بعيد الميلاد؟	الصديقة أم المعلمة	high	الصديقة
شاهدت ابن الرياضي الذي فاز بالميدالية الذهبية في الأولمبياد.	من فاز بالميدالية الذهبية؟	الرياضي أم الابن	low	الرياضي
شاهدت ابن الرياضي الذي تشاجر مع زميله في المدرسة.	من تشاجر في المدرسة؟	الرياضي أم الابن	high	الابن
استمعت إلى صديق الموسيقار الذي يُلحن أغاني للأفلام.	من يُلحن الأغاني؟	الصديق أم الموسيقار	low	الموسيقار
استمعت إلى صديق الموسيقار الذي هاتفني بالأمس.	من هاتف بالأمس؟	الصديق أم الموسيقار	high	الصديق
التقيت بوالد المحامي الذي يدافع عن القضايا الإنسانية.	من يُدافع عن القضايا؟	الوالد أم المحامي	low	المحامي
التقيت بوالد المحامي الذي تُوفي في حادث سير الأسبوع الماضي.	من تُوفي في حادث سير؟	الوالد أم المحامي	high	الوالد
قرأت عن صديق العالم الذي اكتشف علاجًا جديدًا للمرض.	من اكتشف علاجا جديدا؟	الصديق أم العالم	low	العالم
قرأت عن صديق العالم الذي فشل في اجتياز الامتحان.	من فشل في الامتحان؟	الصديق أم العالم	high	الصديق
زرت حديقة المكتبة الكبيرة التي تضم مجموعة نادرة من الكتب القديمة والمخطوطات.	ما المكان الذي يضم كتبًا قديمة؟	الحديقة أم المكتبة	low	المكتبة
زرت حديقة المكتبة الكبيرة التي تحيط بمباني الجامعة.	ما المكان الذي يحيط بمباني الجامعة؟	الحديقة أم المكتبة	high	الحديقة
تحدثت إلى أستاذ الصحفي المخضرم الذي يغطي الأحداث العالمية لصالح صحيفة معروفة.	من يغطي الأحداث العالمية؟	الأستاذ أم الصحفي	low	الصحفي
تحدثت إلى أستاذ الصحفي المخضرم الذي تزوج الأسبوع الماضي.	من تزوج الأسبوع الماضي؟	الأستاذ أم الصحفي	high	الأستاذ
أُعجبت بطالب العالم الجليل الذي اكتشف علاجًا جديدًا لمرض خطير مؤخرًا.	من اكتشف علاجا جديدا؟	الطالب أم العالم	low	العالم
أُعجبت بطالب العالم الجليل الذي تحصل على درجات عالية في كلية الطب.	من تحصل على درجات عالية؟	الطالب أم العالم	high	الطالب
رأيت ابنة المرأة الثرية التي تمتلك ثروة طائلة لبناء مدارس للفقراء.	من تمتلك ثروة طائلة؟	الابنة أم المرأة	low	المرأة
رأيت ابنة المرأة الثرية التي تحصلت على منحة دراسية بالخارج.	من تحصل على منحة دراسية؟	الابنة أم المرأة	high	الابنة
قابلت صديقة المترجمة الماهرة التي ترجمت الوثائق في المحكمة؟	من ترجم الوثائق؟	الصديقة أم المترجمة	low	المترجمة
قابلت صديقة المترجمة الماهرة التي ارتبطت بالطبيب المشهور.	من ارتبط بالطبيب؟	الصديقة أم المترجمة	high	الصديقة